country,continent,vaccines,day,daily_vac,cumulative_vac,vac_pop_perc,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Albania,Europe,Pfizer/BioNTech,1,64,64,2.22E-05,63971,376,621.143,1247,6,6.857,22229.133,130.655,215.839,433.317,2.085,2.383,1.06,,,,,,,,,1575,277995,96.6,0.547,3428,1.191,0.181,5.5,tests performed,,,,64,,,,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,2,64,128,4.45E-05,64627,656,620.571,1252,5,6,22457.085,227.952,215.641,435.055,1.737,2.085,1.08,,,,,,,,,3727,281722,97.895,1.295,3471,1.206,0.179,5.6,tests performed,128,,,64,0,0,,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,3,60,188,6.53E-05,65334,707,618,1256,4,5.571,22702.759,245.674,214.747,436.445,1.39,1.936,1.08,,,,,,,,,3307,285029,99.044,1.149,3386,1.177,0.183,5.5,tests performed,188,,60,63,0.01,0.01,,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,4,78,266,9.24E-05,65994,660,612.714,1261,5,5.429,22932.101,229.342,212.911,438.182,1.737,1.886,1.07,,,,,,,,,3695,288724,100.328,1.284,3390,1.178,0.181,5.5,tests performed,266,,78,66,0.01,0.01,,23,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,5,42,308,0.000107026,66635,641,608.143,1265,4,5,23154.841,222.74,211.322,439.572,1.39,1.737,1.06,,,,,,,,,3530,292254,101.555,1.227,3333,1.158,0.182,5.5,tests performed,308,,42,62,0.01,0.01,,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,6,61,369,0.000128223,67216,581,597.571,1270,5,5.286,23356.731,201.89,207.649,441.309,1.737,1.837,1.04,,,,,,,,,3029,295283,102.607,1.053,3123,1.085,0.191,5.2,tests performed,369,,61,62,0.01,0.01,,22,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,7,36,405,0.000140733,67690,474,585,1277,7,5.143,23521.44,164.709,203.28,443.742,2.432,1.787,1.02,,,,,,,,,2521,297804,103.483,0.876,3055,1.062,0.191,5.2,tests performed,405,,36,58,0.01,0.01,,20,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,8,42,447,0.000155327,67982,292,573,1281,4,4.857,23622.906,101.466,199.11,445.132,1.39,1.688,1.02,,,,,,,,,2343,300147,104.297,0.814,3165,1.1,0.181,5.5,tests performed,447,,42,55,0.02,0.02,,19,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,9,36,483,0.000167837,68568,586,563,1287,6,5,23826.534,203.628,195.636,447.217,2.085,1.737,1.07,,,,,,,,,2510,302657,105.17,0.872,2991,1.039,0.188,5.3,tests performed,483,,36,51,0.02,0.02,,18,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,10,36,519,0.000180346,69238,670,557.714,1291,4,5,24059.351,232.817,193.799,448.607,1.39,1.737,1.11,,,,,,,,,3331,305988,106.327,1.157,2994,1.04,0.186,5.4,tests performed,519,,36,47,0.02,0.02,,16,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,11,30,549,0.000190771,69916,678,560.286,1296,5,5,24294.948,235.597,194.692,450.344,1.737,1.737,1.13,,,,,,,,,3088,309076,107.4,1.073,2907,1.01,0.193,5.2,tests performed,549,,30,40,0.02,0.02,,14,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,12,34,583,0.000202585,70655,739,574.286,1303,7,5.429,24551.741,256.793,199.557,452.776,2.432,1.886,1.16,,,,,,,,,3314,312390,108.552,1.152,2877,1,0.2,5,tests performed,,,,34,,,,12,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Albania,Europe,Pfizer/BioNTech,13,26,609,0.00021162,71441,786,603.571,1310,7,5.714,24824.866,273.125,209.734,455.209,2.432,1.986,1.17,,,,,,,,,3513,315903,109.772,1.221,2946,1.024,0.205,4.9,tests performed,,,,26,,,,9,60.19,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
