Entity,Code,Year,GDP_PC,Distance_to_US,Health_expenditure,Life_expectancy,Median_age,Population,Urban_pop,Land_area_sq_km
Oman,OMN,2016,36883,12852654.52,3.55,77.86,30.7,5223000,82.5,309500
Pakistan,PAK,2016,5250,12353579.48,2.61,67.27,23.5,225200000,36.23,770880
Panama,PAN,2016,21538,3513502.171,8.03,78.51,29.7,4382000,67.03,74340
Paraguay,PRY,2016,8605,7780536.045,9.81,74.25,26.5,7220000,61.03,397300
Peru,PER,2016,11540,5580340.687,5.47,76.74,29.1,33359000,77.54,1280000
Philippines,PHL,2016,7223,13216165.09,4.71,71.23,25.2,111047000,46.48,298170
Poland,POL,2016,26002,8279744.141,6.35,78.73,41.8,37797000,60.18,306190
Portugal,PRT,2016,27726,7317499.558,9.5,82.05,46.2,10168000,64.09,91605
Qatar,QAT,2016,139783,12255717.8,2.19,80.23,31.9,2931000,99.02,11610
Romania,ROU,2016,18913,9045865.199,5.57,76.05,43,19128000,53.9,230080
Russia,RUS,2016,23064,8886096.375,7.07,72.58,39.6,145912000,74.16,16376870
Rwanda,RWA,2016,1741,13228887.83,7.53,69.02,20.3,13277000,17.06,24670
Saint Lucia,LCA,2016,10737,4294450.081,6.72,76.2,34.9,184000,18.56,610
Saudi Arabia,SAU,2016,47474,12089243.38,4.68,75.13,31.9,35341000,83.4,2149690
Senegal,SEN,2016,2544,8276950.426,4.66,67.94,18.7,17196000,46.3,192530
Serbia,SRB,2016,14001,8976467.097,10.37,76,41.2,8698000,55.81,87460
Seychelles,SYC,2016,24856,15371402.66,3.37,73.4,36.2,99000,55.83,460
Sierra Leone,SLE,2016,1070,8905472.134,11.09,54.7,19.1,8141000,41.23,72180
Singapore,SGP,2016,67180,15289904.25,4.92,83.62,42.4,5897000,100,709
Slovakia,SVK,2016,26713,8549993.874,8.05,77.54,41.2,5461000,53.81,48086
Slovenia,SVN,2016,28761,8466651.573,9.23,81.32,44.5,2079000,54.02,20140
South Africa,ZAF,2016,11949,14398743.72,8.8,64.13,27.3,60042000,65.34,1213090
South Korea,KOR,2016,36151,10742654.67,7.37,83.03,43.4,51305000,81.56,97480
Spain,ESP,2016,31556,7588925.1,9.03,83.57,45.5,46745000,79.84,500210
Sri Lanka,LKA,2016,11118,15002015.43,3.5,76.98,34.1,21497000,18.31,62710
Sudan,SDN,2016,3750,12096796.29,8.43,65.31,19.7,44909000,34.12,2376000
Sweden,SWE,2016,44371,7667467.302,11.93,82.8,41,10160000,86.85,407310
Switzerland,CHE,2016,61844,8011214.857,11.66,83.78,43.1,8715000,73.74,39516
Tajikistan,TJK,2016,3544,11465187.29,6.88,71.1,23.3,9750000,26.85,138786
Tanzania,TZA,2016,2518,13971605.59,5.58,65.46,17.7,61498000,32.33,885800
Thailand,THA,2016,14341,13871481.45,4.12,77.15,40.1,69951000,48.45,510890
Togo,TGO,2016,1515,10003801.74,5.25,61.04,19.4,8478000,40.63,54390
Trinidad and Tobago,TTO,2016,29358,4527480.217,5.93,73.51,36.2,1403000,53.25,5130
Tunisia,TUN,2016,10621,8970463.244,7,76.7,32.7,11936000,68.35,155360
Turkey,TUR,2016,18784,10181664.51,5.41,77.69,31.6,85043000,74.13,769630
Turkmenistan,TKM,2016,22328,11186700.23,2.07,68.19,26.9,6118000,50.73,469930
Uganda,UGA,2016,1909,13172154.97,7.22,63.37,16.4,47124000,22.62,200520
Ukraine,UKR,2016,9694,9158483.69,7.1,72.07,41.4,43467000,69.15,579290
United Arab Emirates,ARE,2016,70284,12569102,3.64,77.97,34,9991000,85.97,83600
United Kingdom,GBR,2016,39162,6830409.647,9.12,81.32,40.8,68207000,82.89,241930
United States,USA,2016,53015,0,17.14,78.86,38.3,332915000,81.86,9147420
Uruguay,URY,2016,19896,8780558.986,8.58,77.91,35.6,3485000,95.14,175020
Uzbekistan,UZB,2016,9726,11062822.32,5.84,71.73,28.2,33936000,50.65,425400
Venezuela,VEN,2016,13159,4507978.135,5.26,72.06,29,28705000,88.17,882050
Vietnam,VNM,2016,6031,13797931.32,7.07,75.4,32.6,98169000,34.51,310070
Yemen,YEM,2016,2199,13065898.74,5.64,66.13,20.3,30491000,35.39,527970
Zambia,ZMB,2016,3538,13844450.23,4.99,63.89,17.7,18921000,42.44,743390
Zimbabwe,ZWE,2016,1729,14330315.14,6.44,61.49,19.6,15092000,32.3,386850
Afghanistan,AFG,2016,1929,11932580.45,8.18,64.83,18.6,39835000,25.02,652860
Albania,ALB,2016,11285,9146807.16,5.88,78.57,38,2873000,58.42,27400
Algeria,DZA,2016,13328,8769592.944,7.21,76.88,29.1,44617000,71.46,2381741
Angola,AGO,2016,8397,12841319.15,3.31,61.15,16.8,33934000,64.15,1246700
Argentina,ARG,2016,18695,9017651.792,4.79,76.67,31.9,45606000,91.63,2736690
Armenia,ARM,2016,9588,10546718.11,4.48,75.09,35.7,2968000,63.08,28470
Australia,AUS,2016,44783,15184481.06,9.42,83.44,37.9,25788000,85.8,7682300
Austria,AUT,2016,45010,8343950.367,11.21,81.54,44.4,9043000,57.91,82523
Azerbaijan,AZE,2016,15296,10645993.03,6.04,73.01,32.4,10223000,55.02,82663
Bahrain,BHR,2016,39773,12173566.74,4.98,77.29,32.4,1748000,89.09,771
Bangladesh,BGD,2016,3250,13227347.4,2.82,72.59,27.5,166303000,35.08,130170
Barbados,BRB,2016,10160,4462094.935,7.47,79.19,39.8,288000,31.19,430
Belarus,BLR,2016,18766,8565846.652,5.69,74.79,40.3,9443000,77.66,202910
Belgium,BEL,2016,39733,7553906.574,10.59,81.63,41.8,11632000,97.92,30280
Benin,BEN,2016,2166,10086594.87,4.59,61.77,18.8,12451000,46.23,112760
Bolivia,BOL,2016,6118,6823104.194,6.33,71.51,25.4,11833000,68.74,1083300
Bosnia and Herzegovina,BIH,2016,10576,8788644.62,9.57,77.4,42.5,3263000,47.52,51200
Botswana,BWA,2016,15015,14127057.13,5.41,69.59,25.8,2397000,67.93,566730
Brazil,BRA,2016,13479,7316934.935,8.32,75.88,33.5,213993000,86.04,8358140
Bulgaria,BGR,2016,17953,9332654.481,8.44,75.05,44.7,6897000,74.33,108560
Burkina Faso,BFA,2016,1561,9552235.902,4.96,61.58,17.6,21497000,28.13,273600
Burundi,BDI,2016,692,13338906.18,7.54,61.58,17.5,12255000,12.39,25680
Cambodia,KHM,2016,3307,14084199.45,5.68,69.82,25.6,16946000,22.58,176520
Cameroon,CMR,2016,2803,11082929.45,4.1,59.29,18.8,27224000,55.18,472710
Canada,CAN,2016,42969,2261623.454,10.45,82.43,41.4,38068000,81.3,9093510
Cape Verde,CPV,2016,6512,7336934.746,4.76,72.98,25.7,562000,64.78,4030
Central African Republic,CAF,2016,619,11855530.77,4.2,53.28,18.3,4920000,40.62,622980
Chad,TCD,2016,2192,11014950.73,3.62,54.24,16.7,16915000,22.68,1259200
Chile,CHL,2016,21446,8466824.253,7.79,80.18,35.4,19212000,87.42,743532
China,CHN,2016,12320,11647281.98,5.55,76.91,38.7,1444216000,56.74,9388211
Colombia,COL,2016,12963,4222325.81,7.2,77.29,32.2,51266000,80.11,1109500
Comoros,COM,2016,1713,15114221.48,6.75,64.32,20.4,888000,28.62,1861
Costa Rica,CRI,2016,13986,3269037.099,9.31,80.28,33.6,5139000,77.74,51060
Croatia,HRV,2016,21625,8553882.598,7.8,78.49,44,4082000,56.4,55960
Cuba,CUB,2015,7889,2444942.586,11.06,78.8,43.1,11317000,76.93,104020
Cyprus,CYP,2016,26540,10420962.53,7.37,80.98,37.3,1216000,66.88,9240
Denmark,DNK,2016,45141,7487921.428,10.8,80.9,42.3,5813000,87.64,42262
Djibouti,DJI,2016,3394,13048467.18,10.57,67.11,25.4,1002000,77.53,23180
Dominican Republic,DOM,2016,14088,3216312.059,4.38,74.08,27.6,10954000,79.44,48310
Ecuador,ECU,2016,10536,4690735.607,9.16,77.01,28.1,17888000,63.53,248360
Egypt,EGY,2016,11430,10976408.8,5.64,71.99,25.3,104258000,42.73,995450
El Salvador,SLV,2016,8335,2677224.798,6.77,73.32,27.6,6519000,70.5,20720
Equatorial Guinea,GNQ,2016,31486,11304386.26,3.8,58.74,22.4,1450000,71.14,28050
Estonia,EST,2016,26173,8050654.829,6.38,78.75,42.7,1325000,68.56,42390
Ethiopia,ETH,2016,1659,13143577.91,4.88,66.6,19.8,117876000,19.87,1000000
Finland,FIN,2016,38335,7823311.99,9.68,81.91,42.8,5548000,85.28,303890
France,FRA,2016,38758,7665595.799,11.54,82.66,42,65426000,79.92,547557
Gabon,GAB,2016,14334,11590698.56,3.44,66.47,23.1,2279000,88.56,257670
