country,max,daily_sum,percent_difference
Albania,15793,15607,0.0118
Algeria,75000,69070,0.0791
Andorra,2526,2547,0.0083
Anguilla,3929,5173,0.3166
Argentina,1357596,1385556,0.0206
Australia,76073,76073,0.0000
Austria,802973,802973,0.0000
Azerbaijan,337315,298349,0.1155
Bahrain,506519,497899,0.0170
Bangladesh,3581169,3721337,0.0391
Barbados,46442,46442,0.0000
Belarus,20944,20956,0.0006
Belgium,943152,943402,0.0003
Belize,996,995,0.0010
Bermuda,23939,22118,0.0761
Bolivia,106182,107442,0.0119
Brazil,10576542,10576542,0.0000
Bulgaria,287118,293189,0.0211
Cambodia,66847,53401,0.2011
Canada,2329622,2329622,0.0000
"Cayman Islands",24008,23954,0.0022
Chile,4613246,4613246,0.0000
China,52520000,51187760,0.0254
Colombia,270411,270411,0.0000
"Costa Rica",193000,162982,0.1555
Croatia,242000,237150,0.0200
Cyprus,100000,91410,0.0859
Czechia,818450,818450,0.0000
Denmark,707924,707924,0.0000
"Dominican Republic",375265,363374,0.0317
Ecuador,71148,56819,0.2014
Egypt,1315,1314,0.0008
"El Salvador",16000,11480,0.2825
England,19258271,18992051,0.0138
Estonia,134504,129757,0.0353
"Faeroe Islands",7925,8326,0.0506
"Falkland Islands",1732,2205,0.2731
Finland,565456,621539,0.0992
France,5484624,5484624,0.0000
Germany,7326098,7326098,0.0000
Gibraltar,42548,43147,0.0141
Greece,1091749,1160075,0.0626
Greenland,3927,3937,0.0025
Guatemala,2427,3606,0.4858
Guernsey,22040,22993,0.0432
Guyana,1852,1846,0.0032
Honduras,2684,2684,0.0000
"Hong Kong",51800,40575,0.2167
Hungary,1288974,1280957,0.0062
Iceland,39749,36830,0.0734
India,20922344,21133744,0.0101
Indonesia,3528152,3810740,0.0801
Iran,10000,13385,0.3385
Ireland,493873,470459,0.0474
"Isle of Man",24309,24892,0.0240
Israel,8645523,8645523,0.0000
Italy,5319432,5319432,0.0000
Japan,46469,51539,0.1091
Jersey,33511,33186,0.0097
Jordan,150000,106617,0.2892
Kazakhstan,22294,24201,0.0855
Kuwait,175000,157370,0.1007
Latvia,82042,82393,0.0043
Lebanon,60740,60740,0.0000
Liechtenstein,2721,2628,0.0342
Lithuania,295810,313208,0.0588
Luxembourg,44171,50192,0.1363
Macao,2000,2699,0.3495
Malaysia,112914,98334,0.1291
Maldives,145768,145768,0.0000
Malta,92806,92806,0.0000
Mauritius,3843,3251,0.1540
Mexico,2765805,2753351,0.0045
Monaco,2400,2394,0.0025
Mongolia,4926,4928,0.0004
Montenegro,2250,2392,0.0631
Montserrat,652,645,0.0107
Morocco,4492557,4794633,0.0672
Myanmar,103142,82823,0.1970
Nepal,402264,413141,0.0270
Netherlands,1336428,1228099,0.0811
"New Zealand",9431,3929,0.5834
"Northern Cyprus",11000,8846,0.1958
"Northern Ireland",619315,603220,0.0260
Norway,578241,578241,0.0000
Oman,67660,76326,0.1281
Pakistan,72882,68606,0.0587
Panama,194715,194715,0.0000
Paraguay,1000,1000,0.0000
Peru,365399,365399,0.0000
Philippines,2793,2792,0.0004
Poland,3951104,3792965,0.0400
Portugal,1012032,1039941,0.0276
Qatar,140000,131189,0.0629
Romania,1732964,1732964,0.0000
Russia,6583873,6382519,0.0306
Rwanda,158898,158902,0.0000
"Saint Helena",107,107,0.0000
"San Marino",1880,1880,0.0000
"Saudi Arabia",1264878,1183023,0.0647
Scotland,1857950,1854324,0.0020
Senegal,64117,64117,0.0000
Serbia,1650030,1614847,0.0213
Seychelles,81715,91356,0.1180
Singapore,565000,535628,0.0520
Slovakia,522789,522789,0.0000
Slovenia,203538,203538,0.0000
"South Africa",70527,70527,0.0000
"South Korea",314656,279467,0.1118
Spain,4471577,4948510,0.1067
"Sri Lanka",724278,755319,0.0429
Sweden,890291,839946,0.0565
Switzerland,882184,882184,0.0000
Thailand,7262,7263,0.0001
"Trinidad and Tobago",440,441,0.0023
Turkey,9883607,9883607,0.0000
"Turks and Caicos Islands",6433,6438,0.0008
Ukraine,17037,17188,0.0089
"United Arab Emirates",6265860,6323141,0.0091
"United Kingdom",22887118,22592810,0.0129
"United States",87912323,87729448,0.0021
Uruguay,70408,70408,0.0000
Venezuela,12194,8704,0.2862
Wales,1151582,1144514,0.0061
Zimbabwe,32014,32012,0.0001
